XH2O_fl,H2O_liq,CO2_liq
0.4,0.0,0.0038255723588293943
0.4,0.12915532469900443,-0.00026827177158311385
0.4,0.25831064939800885,-0.003748535086567012
0.4,0.3874659740970133,-0.006615217586122301
0.4,0.5166212987960177,-0.008868319270248982
0.4,0.6457766234950222,-0.010507840138947053
0.4,0.7749319481940266,-0.011533780192216516
0.4,0.9040872728930309,-0.011946139430057368
0.4,1.0332425975920354,-0.01174491785246961
0.4,1.1623979222910399,-0.010930115459453243
0.4,1.2915532469900444,-0.009501732251008267
0.4,1.4207085716890486,-0.007459768227134685
0.4,1.549863896388053,-0.00480422338783249
0.4,1.6790192210870576,-0.0015350977331016844
0.4,1.8081745457860618,0.0023476087370577236
0.4,1.9373298704850663,0.00684389602264574
0.4,2.066485195184071,0.01195376412366238
0.4,2.1956405198830753,0.017677213040107616
0.4,2.3247958445820798,0.024014242771981477
0.4,2.4539511692810843,0.030964853319283926
0.4,2.5831064939800887,0.03852904468201501
0.4,2.7122618186790928,0.04670681686017466
0.4,2.8414171433780973,0.055498169853762956
0.4,2.9705724680771017,0.06490310366277983
0.4,3.099727792776106,0.07492161828722536
0.4,3.2288831174751107,0.08555371372709947
0.4,3.358038442174115,0.09679938998240221
0.4,3.4871937668731197,0.10865864705313354
0.4,3.6163490915721237,0.12113148493929346
0.4,3.745504416271128,0.13421790364088199
0.4,3.8746597409701327,0.14791790315789913
0.4,4.003815065669137,0.16223148349034494
0.4,4.132970390368142,0.17715864463821931
0.4,4.262125715067146,0.1926993866015223
0.4,4.391281039766151,0.20885370938025388
0.4,4.520436364465155,0.22562161297441416
0.4,4.6495916891641595,0.24300309738400297
0.4,4.778747013863164,0.2609981626090204
0.4,4.9079023385621685,0.2796068086494664
0.4,5.037057663261173,0.2988290355053411
0.4,5.1662129879601775,0.3186648431766444
0.4,5.295368312659181,0.33911423166337606
0.4,5.4245236373581855,0.3601772009655365
0.4,5.55367896205719,0.3818537510831256
0.4,5.6828342867561945,0.40414388201614343
0.4,5.811989611455199,0.42704759376458973
0.4,5.9411449361542035,0.45056488632846464
0.4,6.070300260853208,0.4746957597077681
0.4,6.199455585552212,0.49944021390250026
0.4,6.328610910251217,0.5247982489126609
0.6,0.0,0.004864229888692672
0.6,0.18455446519868438,0.00019760063939814124
0.6,0.36910893039736875,-0.003843769661780033
0.6,0.5536633955960532,-0.007259881014841845
0.6,0.7382178607947375,-0.010050733419787301
0.6,0.9227723259934218,-0.012216326876616397
0.6,1.1073267911921063,-0.013756661385329137
0.6,1.2918812563907907,-0.014671736945925516
0.6,1.476435721589475,-0.01496155355840554
0.6,1.6609901867881594,-0.0146261112227692
0.6,1.8455446519868437,-0.013665409939016503
0.6,2.0300991171855283,-0.012079449707147447
0.6,2.2146535823842126,-0.009868230527162035
0.6,2.399208047582897,-0.007031752399060267
0.6,2.5837625127815813,-0.003570015322842135
0.6,2.7683169779802657,0.0005169807014923557
0.6,2.95287144317895,0.005229235673943194
0.6,3.1374259083776344,0.010566749594510403
0.6,3.3219803735763187,0.016529522463193967
