Pressure,H2O_liq,CO2_liq
2000,0.0,0.07473675060194723
2000,0.12217270982192534,0.075702865957413
2000,0.24434541964385068,0.07652265151596863
2000,0.366518129465776,0.07719882347239722
2000,0.48869083928770135,0.07773409802148187
2000,0.6108635491096267,0.07813119135800571
2000,0.733036258931552,0.07839281967675185
2000,0.8552089687534774,0.07852169917250339
2000,0.9773816785754027,0.07852054604004345
2000,1.099554388397328,0.07839207647415515
2000,1.2217270982192534,0.07813900666962159
2000,1.3438998080411788,0.07776405282122588
2000,1.466072517863104,0.07726993112375115
2000,1.5882452276850294,0.07665935777198048
2000,1.7104179375069548,0.07593504896069701
2000,1.83259064732888,0.07509972088468385
2000,1.9547633571508054,0.07415608973872409
2000,2.076936066972731,0.07310687171760087
2000,2.199108776794656,0.07195478301609728
2000,2.3212814866165816,0.07070253982899644
2000,2.443454196438507,0.06935285835108146
2000,2.565626906260432,0.06790845477713546
2000,2.6877996160823576,0.06637204530194153
2000,2.809972325904283,0.06474634612028282
2000,2.932145035726208,0.06303407342694241
2000,3.0543177455481336,0.06123794341670341
2000,3.176490455370059,0.05936067228434895
2000,3.298663165191984,0.05740497622466213
2000,3.4208358750139096,0.05537357143242608
2000,3.543008584835835,0.05326917410242389
2000,3.66518129465776,0.05109450042943868
2000,3.7873540044796856,0.04885226660825355
2000,3.909526714301611,0.04654518883365164
2000,4.031699424123536,0.04417598330041604
2000,4.153872133945462,0.041747366203329854
2000,4.276044843767387,0.03926205373717622
2000,4.398217553589312,0.03672276209673824
2000,4.520390263411238,0.034132207476799015
2000,4.642562973233163,0.03149310607214167
2000,4.764735683055088,0.028808174077549306
2000,4.886908392877014,0.026080127687805058
2000,5.009081102698939,0.023311683097691986
2000,5.131253812520864,0.020505556501993268
2000,5.25342652234279,0.017664464095491966
2000,5.375599232164715,0.01479112207297123
2000,5.49777194198664,0.01188824662921413
2000,5.619944651808566,0.008958553959003787
2000,5.742117361630491,0.006004760257123362
2000,5.864290071452416,0.003029581718355892
2000,5.986462781274342,3.5734537484552464e-05
4000,0.0,0.14967422578462644
4000,0.19231510173501173,0.15258244671445265
4000,0.38463020347002347,0.1552004936173826
4000,0.5769453052050352,0.15753103642038735
4000,0.7692604069400469,0.15957674505043795
4000,0.9615755086750587,0.1613402894345055
4000,1.1538906104100703,0.1628243394995611
4000,1.3462057121450821,0.16403156517257578
4000,1.5385208138800939,0.16496463638052067
4000,1.7308359156151056,0.16562622305036678
4000,1.9231510173501174,0.16601899510908522
4000,2.115466119085129,0.1661456224836471
4000,2.3077812208201407,0.1660087751010234
4000,2.5000963225551525,0.1656111228881853
4000,2.6924114242901642,0.1649553357721038
4000,2.884726526025176,0.16404408367975004
