Pressure_bars,H2O_liq,CO2_liq,XH2O_fl,XCO2_fl,FluidProportion_wt
9000.2,5.1319728481939295,0.52995498370579323,0.32481566792487687,0.6751843320751231,0.01984119582629694
8330.2,5.0919728481939295,0.4625498370579323,0.32481566792487687,0.6751843320751231,0.01984119582629694
8160.4,5.0896358649304645,0.4464600445608999,0.3296809629366602,0.6703190370633397,0.039344009991359896
7990.6,5.0872087214814945,0.4307480669097327,0.33470474222742486,0.6652952577725751,0.05853494175593529
7820.8,5.084683328757972,0.41539708311303775,0.33989679954065427,0.6601032004593456,0.07744068545551251
7651.0,5.0820506896340865,0.40039085473991753,0.34526758767878796,0.6547324123212119,0.09608823425500657
7481.2,5.079300786427698,0.3857137261078185,0.350828267052886,0.6491717329471139,0.11450499966892838
7311.4,5.076422450267933,0.37135062498418386,0.35659075789062367,0.6434092421093763,0.13271894928790823
7141.599999999999,5.073403209115116,0.3572870642060066,0.3625677955652791,0.6374322044347209,0.1507587656565281
6971.800000000001,5.070229110328938,0.34350914473141086,0.3687729904593565,0.6312270095406435,0.16865403003745044
6802.0,5.066884512992252,0.3300035605281886,0.37522089122261937,0.6247791087773806,0.18643543562455753
6632.200000000001,5.06335184388787,0.31675760596189134,0.3819270526397497,0.6180729473602503,0.20413503585995535
6462.4,5.059611309791985,0.30375918634938587,0.38890810752569627,0.6110918924743037,0.22178653478464416
6292.6,5.055640556637956,0.29099683208742505,0.39618184371738635,0.6038181562826136,0.2394256288181618
6122.799999999999,5.051414264117688,0.27845971755363486,0.4037672856691051,0.5962327143308949,0.2570904105868812
5953.000000000001,5.046903660928347,0.26613768538394644,0.41168478140099135,0.5883152185990087,0.2748218495372852
5783.200000000001,5.042075942052549,0.2540212772590956,0.4199560949739205,0.5800439050260795,0.29266436747085145
5613.400000000001,5.03689356407741,0.24210177225049806,0.4286045050664231,0.571395494933577,0.3106665328053807
5443.6,5.03131338797933,0.23037123427373646,0.4376549090378852,0.5623450909621149,0.32888190365170833
5273.8,5.0252856287433625,0.21882256974382372,0.4471339340407371,0.552866065959263,0.3473700607000364
5104.0,5.0187525596842,0.2074495975381702,0.45707005326996064,0.5429299467300395,0.3661978817271124
4934.2,5.011646901698024,0.1962471330019842,0.46749370691846526,0.5325062930815347,0.3854411281765371
4764.4,5.003889805006638,0.18521108836503025,0.47843742479340967,0.5215625752065903,0.40518643700577867
4594.6,4.995388299317213,0.1743385924091115,0.489935945219366,0.510064054780634,0.425533843151435
4424.8,4.986032044716493,0.16362813251936817,0.5020263203171961,0.4979736796828039,0.4466000026047709
4255.0,4.975689155151872,0.15307972326969216,0.5147479907246987,0.48525200927530127,0.46852234726856073
4085.2,4.964200781183592,0.14269510733529528,0.5281428031680574,0.4718571968319426,0.49146448859780123
3915.4,4.951374020108724,0.13247799488670353,0.5422549255178442,0.4577450744821558,0.5156233083087788
3745.6,4.936972552650242,0.12243435140622365,0.557130591142872,0.44286940885712794,0.5412383434125086
3575.7999999999997,4.920704167967538,0.11257274609168004,0.5728175651026356,0.4271824348973644,0.5686043129097771
3406.0,4.9022040030300325,0.10290477811490883,0.5893641700192025,0.41063582998079745,0.5980879697004703
3236.2,4.8810118554842985,0.09344560302710599,0.6068176262387631,0.39318237376123694,0.6301509287169996
3066.3999999999996,4.856541293140566,0.08421458837821635,0.6252213429774626,0.37477865702253754,0.6653807546037563
2896.6000000000004,4.828037462188815,0.07523613259517349,0.6446106302586389,0.3553893697413612,0.7045334028808617
2726.8,4.794519548215533,0.06654068038381598,0.6650060823011869,0.33499391769881315,0.7485910295688446
2557.0,4.754703045570898,0.05816594835682473,0.6864036308324529,0.3135963691675471,0.7988399223617013
2387.2,4.7068971440445475,0.050158310848528,0.7087600788725684,0.2912399211274315,0.8569730244693641
2217.4,4.648875560078036,0.042574135322722424,0.7319730807107457,0.2680269192892544,0.9252182507613388
2047.6,4.577728799219841,0.03548051880235084,0.755855688346607,0.24414431165339295,1.0064836781579216
1877.8,4.4899091878341615,0.028925702454898262,0.7800492111746358,0.21995078882536417,1.1043297448814409
1708.0,4.380325435923674,0.023003165091459072,0.8042650065003261,0.19573499349967388,1.2238221051201281
1538.1999999999998,4.242899026377412,0.017800173086804386,0.8280190307227624,0.1719809692772375,1.3709757507268117
1368.4,4.070985024886097,0.013375823246031933,0.8506813328195586,0.14931866718044143,1.5523025883874724
1198.6,3.8580012687422314,0.009750444588076534,0.8716162694441923,0.1283837305558077,1.7741289883689857
1028.8,3.5981814974819937,0.006890114729055473,0.8903316962448602,0.10966830375513978,2.0417984826193747
859.0,3.28676071165139,0.004708393792016288,0.9065955969105721,0.09340440308942793,2.35945337066431
689.2,2.919078213065473,0.003086515111892409,0.9204557780885665,0.07954422191143345,2.730898419556216
519.4,2.487583229781882,5.4786142e-13,0.9319472756048114,0.06805272439518856,3.164395540358473
349.6,1.9789326419394004,0.0010420375611352175,0.9421668124384812,0.057833187561518805,3.6658704240335904
179.8,1.3481001686854996,0.000429363552569164,0.9510167269885319,0.04898327301146814,4.282482810529906
10.0,0.28112326276433913,1.699259603052662e-05,0.9609713680108575,0.03902863198914244,5.307041772786683
5.0,0.19637791152578452,8.27047996660434e-06,0.9615855058696581,0.038414494130341835,5.387455834169177
1.0,0.0863888444392574,1.59684554341932e-06,0.9623531709098535,0.03764682909014648,5.4916155870094405
