Pressure_bars,H2O_liq,CO2_liq,XH2O_fl,XCO2_fl,FluidProportion_wt
9604.199999999999,19.023277140685654,0,1.0,0,0.43474311147143074
9408.4,18.672702558701133,0,1.0,0,0.8639353926863814
9212.599999999999,18.32352321120852,0,1.0,0,1.287757130762588
9016.8,17.975676413891915,0,1.0,0,1.7063736586021383
8821.0,17.629107544690168,0,1.0,0,2.1199361430605768
8625.2,17.283769787032945,0,1.0,0,2.5285824472341627
8429.4,16.939623769822653,0,1.0,0,2.932438072083103
8233.599999999999,16.596637097318226,0,1.0,0,3.3316171808754005
8037.799999999999,16.254783763222992,0,1.0,0,3.7262237083083174
7841.999999999999,15.914043444754123,0,1.0,0,4.116352554286049
7646.199999999999,15.574400673983245,0,1.0,0,4.502090860558808
7450.4,15.235843885326382,0,1.0,0,4.883519366706549
7254.599999999999,14.898364339445457,0,1.0,0,5.260713840593664
7058.799999999999,14.561954925156499,0,1.0,0,5.633746577228969
6863.0,14.22660884180035,0,1.0,0,6.002687959387378
6667.199999999999,13.892318164948225,0,1.0,0,6.36760807330393
6471.4,13.559072298106624,0,1.0,0,6.728578373387603
6275.599999999999,13.226856312012616,0,1.0,0,7.085673391420993
6079.799999999999,12.89564917126045,0,1.0,0,7.438972487943117
5884.0,12.565421844564845,0,1.0,0,7.788561647247645
5688.199999999999,12.236135291350111,0,1.0,0,8.134535321070588
5492.4,11.907738310697733,0,1.0,0,8.476998332557232
5296.599999999999,11.580165232062559,0,1.0,0,8.816067858086456
5100.799999999999,11.253333417491923,0,1.0,0,9.151875513170827
4904.999999999999,10.927140533835876,0,1.0,0,9.484569578217194
4709.2,10.60146153894084,0,1.0,0,9.814317412015388
4513.4,10.276145308305637,0,1.0,0,10.141308114962776
4317.6,9.951010805865277,0,1.0,0,10.465755522284539
4121.799999999999,9.625842673353189,0,1.0,0,10.787901630573788
3925.9999999999995,9.300386073193023,0,1.0,0,11.108020592181475
3730.2,8.97434056584585,0,1.0,0,11.426423454685128
3534.3999999999996,8.647352722661225,0,1.0,0,11.743463886691142
3338.5999999999995,8.319007058560823,0,1.0,0,12.059545225162642
3142.7999999999997,7.988814684384571,0,1.0,0,12.375129329949893
2947.0,7.656198786350775,0,1.0,0,12.690747970995243
2751.2,7.320475562028282,0,1.0,0,13.00701786752433
2555.3999999999996,6.980828452421259,0,1.0,0,13.324661149503866
2359.6,6.636272196713152,0,1.0,0,13.644534090733053
2163.8,6.285601053138083,0,1.0,0,13.967668745862529
1967.9999999999998,5.927060837749075,0,1.0,0,14.295563790420196
1772.1999999999998,5.556990072442218,0,1.0,0,14.631392840368939
1576.3999999999999,5.17314732504291,0,1.0,0,14.97695024093064
1380.6,4.77144175112586,0,1.0,0,15.335605602596257
1184.8,4.346660285835766,0,1.0,0,15.711586886861875
988.9999999999999,3.8921769740626004,0,1.0,0,16.110177510701366
793.1999999999999,3.3993927980297474,0,1.0,0,16.538120752988654
597.4,2.8561696460233787,0,1.0,0,17.0048351593666
401.59999999999997,2.241670008412676,0,1.0,0,17.52653493392697
205.79999999999998,1.5048957460333459,0,1.0,0,18.143462311690293
10.0,0.28704372991140875,0,1.0,0,19.143223558227255
5.0,0.2003901844313319,0,1.0,0,19.21342950760638
1.0,0.08808647159053488,0,1.0,0,19.304235813817215
